wl,EX,EM
537,38.33030259,0
538,39.4055861,0
539,39.94302665,0
540,40.48407304,0
541,41.29215151,0
542,41.79665722,0
543,42.24238149,0
544,42.34527144,0
545,42.8491387,0
546,43.37679608,0
547,43.40758321,0
548,43.78521811,0
549,43.89476567,0
550,44.20490335,0
551,44.72147077,0
552,44.98568942,0
553,45.60105477,0
554,45.87837361,0
555,46.31183473,0
556,47.16450786,0
557,47.91523646,0
558,48.77422966,0
559,50.12241971,0
560,51.41953957,3.833259959
561,52.8987212,4.011412536
562,55.33358922,4.323651009
563,56.6562862,4.771497764
564,58.74763581,5.321000435
565,60.83552004,5.913349978
566,62.88993497,6.389394822
567,65.34509432,7.080996815
568,67.89246405,7.626821333
569,70.32431031,8.434414975
570,73.33379711,9.155260121
571,75.97927536,10.00925247
572,78.39214433,10.96337568
573,80.93503878,11.97274048
574,83.59695433,13.10774082
575,85.82357785,14.19437749
576,88.41444582,15.40263871
577,90.34213917,16.71579886
578,92.0931728,18.05872631
579,94.23485723,19.47647355
580,95.79733284,21.20928749
581,96.80850495,23.19809796
582,98.5624967,25.30631307
583,99.66178812,27.57335173
584,99.94000515,29.84876837
585,99.7484111,32.12738827
586,100,34.5932723
587,98.55394782,37.46895182
588,98.05422933,40.2382133
589,96.23017777,43.33623507
590,94.38633251,46.39125208
591,91.81411954,49.5868306
592,89.36243327,52.80645529
593,86.1616773,56.19545633
594,82.68690191,59.79042609
595,78.81430013,63.24403593
596,74.92316678,66.95202147
597,71.11648644,70.4170329
598,66.71731026,73.91967378
599,61.78693485,77.05991848
600,57.34782324,80.14659438
601,53.64243227,82.8065093
602,49.70838378,85.77617498
603,46.63773601,88.16138464
604,42.60530394,90.56791117
605,38.82891159,92.73087104
606,35.33915672,95.27080134
607,31.87435411,97.07889962
608,28.74193484,98.08562781
609,26.6079361,98.83766224
610,23.88464564,99.10532833
611,21.57659264,99.4617725
612,19.02384566,99.9378879
613,16.99640276,99.92980359
614,15.00756855,100
615,13.32308704,99.45057243
616,11.41896214,98.34123805
617,9.920021727,97.06779301
618,8.695205199,95.86729261
619,7.754337887,94.79168114
620,6.683926198,93.43747541
621,5.939805816,91.47835332
622,5.356369536,89.5449452
623,4.786070684,88.36619958
624,4.224488009,85.86413134
625,3.719943575,83.87741282
626,3.382911776,81.96000893
627,2.958671954,80.54340531
628,2.549587648,78.04045194
629,2.31822108,75.91822159
630,2.060527076,74.07529149
631,1.830069647,72.46185799
632,1.623870074,70.05186088
633,1.510694424,67.75605732
634,1.330067491,65.8991777
635,1.169195614,64.0312665
636,1.083356664,61.80675242
637,1.084187203,60.63221412
638,1.017697311,58.89790787
639,0.940938189,57.40599722
640,0.920644772,56.06884583
641,0,54.43548822
642,0,53.12348463
643,0,51.82360239
644,0,50.76677494
645,0,49.22254371
646,0,48.09310895
647,0,46.6088835
648,0,45.30728493
649,0,44.39139357
650,0,43.36221355
651,0,42.22710678
652,0,42.17898958
653,0,41.58606418
654,0,40.91513613
655,0,40.87686318
656,0,40.31015371
657,0,39.98713289
658,0,39.54164842
659,0,38.80330143
660,0,38.37669421
661,0,37.97154604
662,0,37.86567731
663,0,37.32188323
664,0,37.3728906
665,0,36.26995438
666,0,35.74256921
667,0,35.24526501
668,0,35.21865757
669,0,34.5754813
670,0,34.45211884
671,0,34.02417325
672,0,32.99452305
673,0,32.62825453
674,0,32.11964052
675,0,31.56541172
676,0,31.2485388
677,0,30.16931904
678,0,29.3023607
679,0,28.92595077
680,0,27.98040192
681,0,27.6123479
682,0,27.11014178
683,0,26.8001449
684,0,25.46005485
685,0,25.38326826
686,0,24.66653209
687,0,23.90506971
688,0,23.37149042
689,0,22.82663988
690,0,21.93881689
691,0,20.69334373
692,0,20.20016786
693,0,19.58929409
694,0,19.0720613
695,0,18.83001101
696,0,17.70070286
697,0,17.41899531
698,0,16.72640266
699,0,16.01105242
700,0,15.72059007
701,0,14.92614275
702,0,14.17983855
703,0,13.63560255
704,0,13.15871318
705,0,12.64776897
706,0,12.36858854
707,0,11.90841395
708,0,11.99422943
709,0,11.23554176
710,0,10.9525646
711,0,10.83629658
712,0,10.56336535
713,0,10.07005733
714,0,9.994281881
715,0,9.827170847
716,0,9.615081902
717,0,9.244029251
718,0,9.046493184
719,0,8.965439731
720,0,8.7246591
721,0,8.484009448
722,0,8.489812343
723,0,8.179130348
724,0,7.842632747
725,0,7.775429975
726,0,7.554689442
727,0,7.493494101
728,0,7.330808585
729,0,6.952007093
730,0,6.822037117
731,0,6.698138206
732,0,6.466724208
733,0,6.397354769
734,0,6.340181417
735,0,6.141111497
736,0,6.019927934
737,0,5.833336948
738,0,5.577339641
739,0,5.50667894
740,0,5.342951839
741,0,5.177610958
742,0,5.266831816
743,0,5.177932695
744,0,4.982284001
745,0,4.851200717
746,0,4.741680009
747,0,4.532590039
748,0,4.68188454
749,0,4.497906069
750,0,4.481403632
751,0,0
752,0,0
753,0,0
754,0,0
755,0,0
756,0,0
757,0,0
758,0,0
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,0
775,0,0
776,0,0
777,0,0
778,0,0
779,0,0
780,0,0
781,0,0
782,0,0
783,0,0
784,0,0
785,0,0
786,0,0
787,0,0
788,0,0
789,0,0
790,0,0
791,0,0
792,0,0
793,0,0
794,0,0
795,0,0
796,0,0
797,0,0
798,0,0
799,0,0
800,0,0
801,0,0
802,0,0
803,0,0
804,0,0
805,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
826,0,0
827,0,0
828,0,0
829,0,0
830,0,0
831,0,0
832,0,0
833,0,0
834,0,0
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
842,0,0
843,0,0
844,0,0
845,0,0
846,0,0
847,0,0
848,0,0
849,0,0
850,0,0
851,0,0
852,0,0
853,0,0
854,0,0
855,0,0
856,0,0
857,0,0
858,0,0
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,0,0
870,0,0
871,0,0
872,0,0
873,0,0
874,0,0
875,0,0
876,0,0
877,0,0
878,0,0
879,0,0
880,0,0
881,0,0
882,0,0
883,0,0
884,0,0
885,0,0
886,0,0
887,0,0
888,0,0
889,0,0
890,0,0
891,0,0
892,0,0
893,0,0
894,0,0
895,0,0
896,0,0
897,0,0
898,0,0
899,0,0
900,0,0
901,0,0
902,0,0
903,0,0
904,0,0
905,0,0
906,0,0
907,0,0
908,0,0
909,0,0
910,0,0
911,0,0
912,0,0
913,0,0
914,0,0
915,0,0
916,0,0
917,0,0
918,0,0
919,0,0
920,0,0
921,0,0
922,0,0
923,0,0
924,0,0
925,0,0
926,0,0
927,0,0
928,0,0
929,0,0
930,0,0
931,0,0
932,0,0
933,0,0
934,0,0
935,0,0
936,0,0
937,0,0
938,0,0
939,0,0
940,0,0
941,0,0
942,0,0
943,0,0
944,0,0
945,0,0
946,0,0
947,0,0
948,0,0
949,0,0
950,0,0
951,0,0
952,0,0
953,0,0
954,0,0
955,0,0
956,0,0
957,0,0
958,0,0
959,0,0
960,0,0
961,0,0
962,0,0
963,0,0
964,0,0
965,0,0
966,0,0
967,0,0
968,0,0
969,0,0
970,0,0
971,0,0
972,0,0
973,0,0
974,0,0
975,0,0
976,0,0
977,0,0
978,0,0
979,0,0
980,0,0
981,0,0
982,0,0
983,0,0
984,0,0
985,0,0
986,0,0
987,0,0
988,0,0
989,0,0
990,0,0
991,0,0
992,0,0
993,0,0
994,0,0
995,0,0
996,0,0
997,0,0
998,0,0
999,0,0
